iter	Passed	Remaining
570	89986	67607
571	90141	67448
572	90293	67286
573	90448	67127
574	90599	66965
575	90752	66803
576	90912	66648
577	91061	66484
578	91215	66324
579	91371	66165
580	91530	66009
581	91687	65850
582	91841	65691
583	91996	65532
584	92150	65371
585	92302	65210
586	92453	65047
587	92606	64887
588	92758	64726
589	92912	64565
590	93068	64407
591	93219	64245
592	93370	64084
593	93528	63927
594	93695	63776
595	93855	63620
596	94008	63459
597	94163	63300
598	94318	63141
599	94470	62980
600	94624	62820
601	94777	62659
602	94940	62506
603	95090	62344
604	95245	62185
605	95404	62028
606	95557	61868
607	95713	61709
608	95868	61551
609	96021	61391
610	96175	61231
611	96323	61068
612	96479	60909
613	96632	60749
614	96782	60587
615	96941	60431
616	97096	60272
617	97254	60115
618	97407	59955
619	97562	59796
620	97711	59633
621	97865	59474
622	98020	59315
623	98173	59155
624	98324	58994
625	98480	58836
626	98634	58677
627	98789	58518
628	98943	58359
629	99098	58200
630	99251	58041
631	99405	57881
632	99555	57720
633	99709	57560
634	99865	57403
635	100020	57244
636	100178	57087
637	100328	56926
638	100482	56767
639	100641	56610
640	100796	56452
641	100950	56293
642	101106	56135
643	101265	55978
644	101419	55820
645	101579	55664
646	101737	55507
647	101900	55353
648	102056	55195
649	102215	55038
650	102373	54882
651	102532	54725
652	102686	54566
653	102857	54416
654	103008	54256
655	103162	54097
656	103317	53939
657	103474	53781
658	103632	53624
659	103786	53465
660	103944	53309
661	104099	53150
662	104252	52991
663	104453	52856
664	104606	52696
665	104761	52537
666	104916	52379
667	105072	52221
668	105230	52064
669	105383	51905
670	105534	51744
671	105687	51585
672	105839	51425
673	105996	51268
674	106152	51110
675	106307	50952
676	106458	50791
677	106611	50632
678	106767	50474
679	106929	50319
680	107083	50160
681	107235	50001
682	107386	49841
683	107535	49680
684	107690	49521
685	107846	49364
686	108005	49207
687	108159	49049
688	108310	48889
689	108464	48730
690	108618	48571
691	108770	48412
692	108923	48253
693	109077	48094
694	109237	47938
695	109387	47778
696	109542	47620
697	109692	47459
698	109849	47302
699	110001	47143
700	110156	46985
701	110315	46829
702	110468	46670
703	110618	46510
704	110775	46352
705	110929	46194
706	111088	46038
707	111239	45878
708	111396	45721
709	111546	45561
710	111698	45402
711	111856	45245
712	112008	45086
713	112162	44927
714	112318	44770
715	112470	44611
716	112623	44452
717	112786	44297
718	112952	44144
719	113109	43986
720	113279	43834
721	113444	43680
722	113608	43526
723	113772	43371
724	113979	43233
725	114265	43124
726	114469	42984
727	114627	42827
728	114787	42671
729	114950	42515
730	115139	42370
731	115351	42232
732	115527	42081
733	115711	41933
734	115891	41783
735	116049	41626
736	116203	41467
737	116456	41343
738	116685	41210
739	116937	41086
740	117170	40954
741	117338	40799
742	117504	40644
743	117680	40492
744	117848	40337
745	118017	40182
746	118186	40028
747	118380	39882
748	118549	39727
749	118723	39574
750	118900	39422
751	119099	39277
752	119374	39157
753	119582	39014
754	119752	38860
755	119915	38702
756	120082	38546
757	120259	38394
758	120422	38237
759	120585	38079
760	120744	37920
761	120908	37764
762	121079	37609
763	121268	37460
764	121429	37301
765	121591	37144
766	121750	36985
767	121919	36829
768	122086	36673
769	122262	36520
770	122431	36364
771	122589	36205
772	122749	36046
773	122921	35891
774	123081	35733
775	123235	35573
776	123393	35414
777	123546	35253
778	123703	35094
779	123868	34937
780	124028	34778
781	124184	34619
782	124335	34458
783	124492	34298
784	124644	34138
785	124803	33979
786	124956	33819
787	125107	33658
788	125262	33498
789	125431	33342
790	125595	33185
791	125745	33024
792	125921	32869
793	126098	32715
794	126248	32554
795	126406	32395
796	126571	32238
797	126740	32082
798	126895	31922
799	127055	31763
800	127208	31603
801	127362	31443
802	127517	31283
803	127674	31124
804	127836	30966
805	127997	30808
806	128194	30658
807	128362	30501
808	128523	30343
809	128672	30182
810	128826	30022
811	128985	29863
812	129140	29703
813	129291	29543
814	129445	29383
815	129599	29223
816	129819	29078
817	130002	28924
818	130168	28767
819	130331	28609
820	130488	28450
821	130649	28291
822	130844	28140
823	131004	27981
824	131159	27821
825	131397	27679
826	131655	27541
827	131928	27405
828	132218	27273
829	132436	27125
830	132676	26982
831	132842	26823
832	133004	26664
833	133170	26506
834	133412	26362
835	133624	26213
836	133882	26072
837	134044	25913
838	134205	25753
839	134375	25595
840	134551	25438
841	134715	25279
842	134876	25119
843	135033	24958
844	135189	24798
845	135348	24637
846	135513	24478
847	135678	24319
848	135850	24161
849	136020	24003
850	136183	23844
851	136339	23683
852	136500	23523
853	136655	23362
854	136815	23202
855	136970	23041
856	137126	22881
857	137284	22720
858	137456	22562
859	137623	22403
860	137779	22243
861	137938	22083
862	138107	21924
863	138265	21763
864	138426	21604
865	138591	21444
866	138833	21297
867	138990	21136
868	139149	20976
869	139303	20815
870	139458	20654
871	139614	20493
872	139775	20333
873	139934	20173
874	140105	20015
875	140269	19855
876	140523	19708
877	140727	19554
878	140923	19399
879	141139	19246
880	141340	19091
881	141572	18940
882	141785	18786
883	141986	18631
884	142174	18474
885	142428	18326
886	142704	18179
887	142913	18025
888	143111	17868
889	143288	17709
890	143453	17549
891	143649	17392
892	143866	17238
893	144043	17079
894	144207	16918
895	144368	16757
896	144562	16599
897	144761	16442
898	144988	16289
899	145245	16138
900	145476	15984
901	145734	15833
902	145983	15681
903	146197	15525
904	146415	15369
905	146641	15214
906	146842	15056
907	147006	14894
908	147173	14733
909	147342	14572
910	147535	14413
911	147717	14253
912	147896	14093
913	148066	13931
914	148238	13770
915	148422	13610
916	148611	13451
917	148802	13291
918	148980	13131
919	149147	12969
920	149315	12807
921	149475	12645
922	149638	12483
923	149808	12321
924	149983	12160
925	150151	11999
926	150326	11837
927	150489	11675
928	150666	11514
929	150863	11355
930	151027	11193
931	151197	11031
932	151363	10869
933	151529	10707
934	151702	10546
935	151871	10384
936	152033	10222
937	152191	10059
938	152355	9897
939	152526	9735
940	152695	9573
941	152863	9411
942	153029	9249
943	153191	9087
944	153351	8925
945	153521	8763
946	153697	8601
947	153867	8440
948	154037	8278
949	154199	8115
950	154371	7953
951	154541	7791
952	154694	7629
953	154858	7466
954	155019	7304
955	155181	7142
956	155342	6979
957	155500	6817
958	155663	6655
959	155827	6492
960	155984	6330
961	156148	6168
962	156307	6005
963	156466	5843
964	156624	5680
965	156780	5518
966	156944	5355
967	157108	5193
968	157272	5031
969	157434	4869
970	157660	4708
971	157848	4547
972	158032	4385
973	158217	4223
974	158395	4061
975	158564	3899
976	158735	3736
977	158905	3574
978	159069	3412
979	159232	3249
980	159397	3087
981	159557	2924
982	159716	2762
983	159883	2599
984	160049	2437
985	160224	2274
986	160394	2112
987	160557	1950
988	160724	1787
989	160887	1625
990	161048	1462
991	161212	1300
992	161377	1137
993	161536	975
994	161701	812
995	161868	650
996	162033	487
997	162194	325
998	162358	162
999	162526	0
